Japanese Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
買い物は隣町(となりまち)に<br>行くしかなさそうね,買い物[かいもの]は 隣町[となりまち]に<br> 行[い]くしかなさそうね,買い物は隣町に行くしかなさそうね,"<img src=""Spirited_Away_-_ja_-_Jap_30572.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_30454.mp3],Xem ra phải sang thị trấn kế bên<br>để mua sắm rồi.,물건을 사려면<br>시내까지 나가야겠어,买[mǎi]东[dōng]西[xī]要[yào]到[dào]隔[gé]壁[bì]镇[zhèn]上[shàng]买[mǎi]才[cái]行[xíng],買[mǎi]東[dōng]西[xī]似[sì]乎[hū]要[yào]到[dào]隔[gé]壁[bì]鎮[zhèn]上[shàng]買[mǎi],I'll have to shop in the next town.,Tendré que hacer las compras<br>en la ciudad vecina.,Tendré que ir a comprar<br>al pueblo más próximo.,隣町[となりまち]： 自分[じぶん]の 住[す]んでいる 町[まち]の 隣[となり]にある 町[まち],,~しかない： 他[た]の 方法[ほうほう]がなく、それだけをする 必要[ひつよう]がある,~そうだ： 話し手[はなして]の 推量[すいりょう]・ 様子[ようす]を 表[あらわ]す,隣町[となりまち]まで 自転車[じてんしゃ]で 行[おこな]った。,,今[いま]は 待[ま]つしかない。,雨[あめ]が 降[お]りそうだ。,[sound:hypertts-2c36b0ba460be77e83de97c56c39b991e81658a9380c87bad17f6a23.mp3],,[sound:hypertts-6efac433fd9ddd8d00ffddc64fe8cdb83111f24e49e7849ad7902ffb.mp3],[sound:hypertts-20a11cde971daf4318906e78876c9be8ecab3633a11edf45794eb702.mp3]
（お父さん）<br>住んで都にするしかないさ,（お 父[とう]さん）<br> 住[す]んで 都[みや]にするしかないさ,住んで都にするしかないさ,"<img src=""Spirited_Away_-_ja_-_Jap_33450.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_33189.mp3],Sống quen rồi thì sẽ khác thôi.,살면서 정붙이는 수밖에!,住[zhù]习[xí]惯[guàn]就[jiù]好[hǎo]了[le],住[zhù]習[xí]慣[guàn]就[jiù]好[hǎo]了[le]啦[la],"It'll be great, once we get used to it.",Será genial una vez que nos acostumbremos.,Habrá que acostumbrarse a ello.,都[みや]： 大[おお]きな 都市[とし]、 首都[しゅと]を 指[さ]すことが 多[おお]い,,~て…にする：ある 状態[じょうたい]に 変[か]える,~しかない： 他[た]の 方法[ほうほう]がない,京都[きょうと]は 昔[むかし]の 都[みや]だ。,,部屋[へや]をきれいにする。,行[い]くしかない。,[sound:hypertts-0d0f61d3bfcabf693ff855f1f760c3fe4458ad69355349a6d12dd066.mp3],,[sound:hypertts-a5c5fe2a756f0af6e42d7ecf621083e1cd4ac8229010f2cbcf23de85.mp3],[sound:hypertts-3a1c98be19f2b02bf89f2ace3c7f9b68158a21c16d01a586a526fe8c.mp3]
お母さん<br>お花しおれてっちゃった,お 母[かあ]さん<br>お 花[はな]しおれてっちゃった,お母さんお花しおれてっちゃった,"<img src=""Spirited_Away_-_ja_-_Jap_59434.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_59266.mp3],"Mẹ ơi, mấy bông hoa héo hết rồi.","엄마, 꽃이 시들어버렸어",妈[mā]妈[mā]<[<br>]b[huā]r[kuài]>[kū]花[wěi]快[le],媽[mā]媽[mā]<[<br>]b[huā]r[kuài]>[kū]花[le],Mommy... My flowers died.,"Mami, mis flores se marchitaron.",¡Mamá!<br>Se me han marchitado las flores.,しおれる： 花[はな]や 草[くさ]が 元気[げんき]を 失[うしな]って 萎[しぼ]む,,~てしまう（ 縮[ちぢみ] 約[やく]：~ちゃう）： 完了[かんりょう]・ 後悔[こうかい],,水[みず]がなくて 花[はな]がしおれた。,,宿題[しゅくだい]を 忘[わす]れちゃった。,,[sound:hypertts-56ff2c639a43e7c4598288092b57e5c27137d797c753904ce0c7256d.mp3],,[sound:hypertts-c86f670fad1707e08314387888e939efb733163ddb550a25911ec309.mp3],
あなた ずーっと<br>にぎりしめてるんだもの,あなたずーっと<br>にぎりしめてるんだもの,あなたずーっとにぎりしめてるんだもの,"<img src=""Spirited_Away_-_ja_-_Jap_62187.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_62187.mp3],Ai bảo con cứ siết chặt<br>mấy bông hoa như thế.,네가 계속<br>안고 있어서 그런 거야,都[dōu]怪[guài]你[nǐ]抓[zhuā]得[dé]太[tài]紧[jǐn]了[le],都[dōu]怪[guài]妳[nǐ]握[wò]得[dé]太[tài]緊[jǐn],"No wonder, the way you clung to them.","Claro, si te aferraste a ellas.","No me extraña, las estabas apretando.",にぎりしめる： 強[つよ]く 手[て]で 握[にぎ]る,,~ている： 動作[どうさ]の 継続[けいぞく]や 状態[じょうたい],~んだもの： 理由[りゆう]や 言い訳[いいわけ]をやわらかく 示[しめ]す,お 守[まも]りをにぎりしめる。,,雨[あめ]が 降[ふ]っている。,疲[つか]れたんだもの。,[sound:hypertts-9c13cc1a252ea7795646ca301b605c676aeaf9c47a2e53c2a2d683bb.mp3],,[sound:hypertts-e73a20140dc7478a2ef64fb1c26b3441bcf5210e12774accf84447f3.mp3],[sound:hypertts-e9e0e4d45652d5bfda999889a1e5fc670ba3ca318bb3f082ece475c3.mp3]
初(はじ)めてもらった花束(はなたば)が<br>お別(わか)れの花束(はなたば)なんて悲しい,初[はじ]めてもらった 花束[はなたば]が<br>お 別[わか]れの 花束[はなたば]なんて 悲[かな]しい,初めてもらった花束がお別れの花束なんて悲しい,"<img src=""Spirited_Away_-_ja_-_Jap_68777.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_68634.mp3],"Bó hoa đầu tiên con nhận trong đời<br>lại là bó hoa chia tay, buồn thật đấy.",처음 받은 꽃다발이<br>이별의 꽃다발이라니!,第[dì]一[yī]次[cì]收[shōu]到[dào]的[de]花[huā]束[shù]<[<br>]b[jìng]r[rán]>[shì]竟[sòng]然[bié]是[de]送[huā]别[shù]的[ ]花[zhēn]束[bēi],第[dì]一[yī]次[cì]收[shōu]到[dào]的[de]花[huā]束[shù]就[jiù]是[shì]送[sòng]別[bié]的[de]花[huā]束[shù]<[<br>]b[zhēn]r[bēi]>[āi],"My very first bouquet<br>is farewell flowers, how sad.",Mi primer ramo de flores<br>es uno de despedida. Qué triste.,Mi primer ramo es<br>un ramo de despedida. Qué tristeza.,花束[はなたば]： 花[はな]をまとめたもの,,~なんて： 意外性[いがいせい]・ 否定的[ひていてき] 感情[かんじょう]を 表[あらわ]す,,花束[はなたば]をプレゼントする。,,彼[かれ]が 遅刻[ちこく]するなんて 信[しん]じられない。,,[sound:hypertts-ef03b8bdd95c8915b2fa3b41504bf7ce29823ac665333df420b01fbe.mp3],,[sound:hypertts-ebe50a6e4197f6de50998fbfd3de276c67faa4729be5bc3124ff62a6.mp3],
１本ね<br>１本じゃ花束(はなたば)って言えないわ,１ 本[ぼん]ね<br>１ 本[ぼん]じゃ 花束[はなたば]って 言[い]えないわ,１本ね１本じゃ花束って言えないわ,"<img src=""Spirited_Away_-_ja_-_Jap_75950.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_75890.mp3],Một cành ạ.<br>Một cành<br>thì sao tính là một bó hoa được ạ?,한 송이는 꽃다발이 아냐,那[nà]是[shì]一[yī]朵[duǒ]花[huā] 一[yī]朵[duǒ]花[huā]怎[zěn]么[me]能[néng]叫[jiào]花[huā]束[shù]？[？],那[nà]是[shì]一[yī]朵[duǒ]花[huā]耶[yé]<[<br>]b[yī]r[duǒ]>[huā]一[zěn]朵[me]花[néng]怎[jiào]麼[huā]能[shù]叫[？],One rose isn't a bouquet.,Una rosa no es un ramo.,Una sola rosa no es un ramo.,本[ほん]： 細長[ほそなが]いものを 数[かぞ]える 助数詞[じょすうし],,~じゃ~ない： 否定[ひてい] 表現[ひょうげん]、 条件[じょうけん] 的[てき]な 否定[ひてい],,ペンを三 本[ほん] 持[も]っている。,,一人[ひとり]じゃできない。,,[sound:hypertts-70d3c4f11b29f841e3cb600ea667e8a9042783692b6924276461bc79.mp3],,[sound:hypertts-9e5efaafb99a140f58534da171743a7e90cb64a0ecd61c5b7414716e.mp3],
（お母さん）<br>あの角(すみ)の青い家(いえ)でしょう？,（お 母[かあ]さん）<br>あの 角[すみ]の 青[あお]い 家[いえ]でしょう？,あの角の青い家でしょう,"<img src=""Spirited_Away_-_ja_-_Jap_130922.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_130922.mp3],Căn màu xanh dương ở góc kia ấy.,모퉁이의 파란 집이잖아,是[shì]角[jiǎo]落[luò]那[nà]间[jiān]蓝[lán]色[sè]的[de]房[fáng]子[zi]吧[ba]？[？],是[shì]角[jiǎo]落[luò]那[nà]間[jiān]藍[lán]色[sè]的[de]房[fáng]子[zi]吧[ba]？[？],It must be that blue one over there.,Debe ser la azul de allá.,Será esa azul de la esquina.,角[かく]： 道[みち]や 建物[たてもの]が 曲[ま]がる 部分[ぶぶん],,~でしょう？： 確認[かくにん]・ 推量[すいりょう],,角[かく]を 曲[ま]がると 駅[えき]がある。,,明日[あした] 来[く]るでしょう？,,[sound:hypertts-e79c6156c4ab0dbe1fdd8d819db8f3e1473c4038b3128944deacbf0d.mp3],,[sound:hypertts-a3b7898c0ec9a854092aea76bd1ac068821e480a16c199757ebefd04.mp3],
（お母さん）<br>やめてよ　そうやって<br>いつも迷(まよ)っちゃうんだから,（お 母[かあ]さん）<br>止[やめ]めてよ　そうやって<br>いつも 迷[まよ]っちゃうんだから,止めてよそうやっていつも迷っちゃうんだから,"<img src=""Spirited_Away_-_ja_-_Jap_140306.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_140139.mp3],"Thôi đừng, anh mà làm vậy<br>thì toàn đi lạc cả.",그러다 항상 길을 잃잖아,不[bú]要[yào] 每[měi]次[cì]都[dōu]是[shì]这[zhè]样[yàng]才[cái]会[huì]迷[mí]路[lù]的[de],不[bú]要[yào]啦[la]，[，]每[měi]次[cì]都[dōu]是[shì]這[zhè]樣[yàng]才[cái]迷[mí]路[lù]的[de],This is always how you get us lost.,Siempre haces que nos perdamos así.,"Déjalo, así es como nos perdemos siempre.",迷[まよ]う： 決[き]められず 困[こま]る・ 道[みち]を 失[うしな]う,,~ちゃう：~てしまうの 口語[こうご],~んだから： 理由[りゆう]・ 強調[きょうちょう],道[みち]に 迷[まよ]った。,,食[た]べすぎちゃった。,危[あぶ]ないんだから 気[き]をつけて。,[sound:hypertts-c08927409665d39808c23033941de117e08f5f88a1a7235e1599cbf0.mp3],,[sound:hypertts-949799c709d2ebea38c75c8d4abfde5f065aa882ce1b6814e8b31251.mp3],[sound:hypertts-b22afe33b29533d5ff9f224d13ebbbd2e684a06bd4596eb5102cc821.mp3]
あなた いい加減(かげん)にして！,あなたいい 加減[かげん]にして！,あなたいい加減にして,"<img src=""Spirited_Away_-_ja_-_Jap_182390.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_182390.mp3],"Anh à, anh thôi ngay đi!","여보, 위험해!",老[lǎo]公[gōng] 小[xiǎo]心[xīn]一[yì]点[diǎn]！[！],老[lǎo]公[gōng]，[，]小[xiǎo]心[xīn]一[yī]點[diǎn]啊[a]！[！],You're going to kill us.,Harás que nos matemos.,"¡Cariño, vale ya!",いい 加減[かげん]： 度[ど]を 越[こ]えている、やめてほしい 様子[ようす],,~にする： 状態[じょうたい]を 決[き]める,,いい 加減[かげん]に 嘘[うそ]をやめなさい。,,窓[まど]を 開[あ]けることにする。,,[sound:hypertts-2c81e542b76021b82183f4bb9db80b125f5c2838829c7945d741871f.mp3],,[sound:hypertts-6e66bfba145ae4ff0050593beb2ab138086a3e8464abdd8e5c9a54c4.mp3],
ちょっと行ってみない？<br>向こうへ抜(ぬ)けられるんだ,ちょっと 行[い]ってみない？<br> 向[む]こうへ 抜[ぬ]けられるんだ,ちょっと行ってみない向こうへ抜けられるんだ,"<img src=""Spirited_Away_-_ja_-_Jap_232315.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_232315.mp3],Đi xem thử ha? Nó thông sang kia đấy.,"뭐니?<br>가 보자, 건너가는 길이 있어",怎[zěn]么[me]了[le]？[？<br>]<[yào]b[bù]r[yào]>[qù]要[kàn]不[kàn]要[？]去[kě]看[yǐ]看[chuān]？[guò]可[qù],怎[zěn]麼[me]了[le]？[？<br>]<[yào]b[bù]r[yào]>[qù]要[kàn]不[kàn]要[？]去[kě]看[yǐ]看[chuān]？[guò]可[qù]以[yé],Let's have a look. There's a way through.,¿Qué es?<br>Vamos a ver. Podemos pasar.,- ¿Qué pasa?<br>- ¿Echamos un vistazo? Se puede atravesar.,向[む]こう： 相手側[あいてがわ]、 先[さき]の 場所[ばしょ],抜[ぬ]ける： 通り抜[とおりぬ]ける、 外[そと]へ 出[で]る,~てみる： 試[ため]しに 行[おこな]う,~ない？： 勧誘[かんゆう]・ 提案[ていあん],向[む]こうに 山[やま]が 見[み]える。,裏口[うらぐち]から 抜[ぬ]けた。,新[あたら]しい 料理[りょうり]を 作[つく]ってみる。,一緒[いっしょ]に 行[い]かない？,[sound:hypertts-2ac52edc0246de3fc8ee0b2c7ce771712d644928a52b8faa82c61344.mp3],[sound:hypertts-3696c002139a57815928be1acbe85e15c324df8f46a06a94679f4e82.mp3],[sound:hypertts-cf23f684aaf2da7fb2114621a720e1812ab94d50606d262cae70ce1d.mp3],[sound:hypertts-1195889af8440561754bfc148a2476cd0fc431e48fb37fc0e05ac020.mp3]
